Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\Overexpression_HeLa2_cGAS-RIGI.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-08-05 16:34:46 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
A1;Negative Control;GAPDH;UNKNOWN;SYBR;None;;;;15,8381614685059;16,3811016082764;0,541322410106659;;;;;;;VRAI;0,742659780714247;VRAI;3;9;1;;Y
A2;Negative Control;GAPDH;UNKNOWN;SYBR;None;;;;15,3843555450439;16,3811016082764;0,541322410106659;;;;;;;VRAI;0,742659780714247;VRAI;3;10;1;;Y
A3;Negative Control;GAPDH;UNKNOWN;SYBR;None;;;;15,9207916259766;16,3811016082764;0,541322410106659;;;;;;;VRAI;0,742659780714247;VRAI;3;11;1;;Y
A10;RIG1 Control;GAPDH;UNKNOWN;SYBR;None;;;;14,6896657943726;14,3816146850586;0,267665296792984;;;;;;;VRAI;0,742659780714247;VRAI;3;8;1;;N
A11;RIG1 Control;GAPDH;UNKNOWN;SYBR;None;;;;14,2058353424072;14,3816146850586;0,267665296792984;;;;;;;VRAI;0,742659780714247;VRAI;3;7;1;;N
A12;RIG1 Control;GAPDH;UNKNOWN;SYBR;None;;;;14,2493438720703;14,3816146850586;0,267665296792984;;;;;;;VRAI;0,742659780714247;VRAI;3;8;1;;N
B1;RIG1 8.1;GAPDH;UNKNOWN;SYBR;None;;;;13,9447422027588;13,8768920898438;0,0604894943535328;;;;;;;VRAI;0,742659780714247;VRAI;3;7;1;;N
B2;RIG1 8.1;GAPDH;UNKNOWN;SYBR;None;;;;13,8573236465454;13,8768920898438;0,0604894943535328;;;;;;;VRAI;0,742659780714247;VRAI;3;7;1;;N
B3;RIG1 8.1;GAPDH;UNKNOWN;SYBR;None;;;;13,8286075592041;13,8768920898438;0,0604894943535328;;;;;;;VRAI;0,742659780714247;VRAI;3;7;1;;N
B4;RIG1 8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,3799867630005;15,3361673355103;0,0381940603256226;;;;;;;VRAI;0,742659780714247;VRAI;3;9;1;;N
B5;RIG1 8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,318585395813;15,3361673355103;0,0381940603256226;;;;;;;VRAI;0,742659780714247;VRAI;3;9;1;;N
B6;RIG1 8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,3099317550659;15,3361673355103;0,0381940603256226;;;;;;;VRAI;0,742659780714247;VRAI;3;9;1;;N
B7;cGAS Control;GAPDH;UNKNOWN;SYBR;None;;;;15,1654529571533;15,1172361373901;0,0459967255592346;;;;;;;VRAI;0,742659780714247;VRAI;3;8;1;;N
B8;cGAS Control;GAPDH;UNKNOWN;SYBR;None;;;;15,1124153137207;15,1172361373901;0,0459967255592346;;;;;;;VRAI;0,742659780714247;VRAI;3;8;1;;N
