Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_siRNAP8-P6_stimulation-3pRNA.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-22 15:51:13 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
A4;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,9107704162598;18,2648830413818;0,720519363880157;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
;;;;;;;;;;;;;;;;;;;;;;;;;
A6;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,7003269195557;18,2648830413818;0,720519363880157;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
A7;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,4979915618896;18,2648830413818;0,720519363880157;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
A8;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,4545497894287;18,2648830413818;0,720519363880157;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
A9;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;16,3490467071533;17,2840709686279;0,885106086730957;;;;;;;VRAI;1,05886710773815;VRAI;3;9;1;;Y
A10;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;16,7092971801758;17,2840709686279;0,885106086730957;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
A11;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;17,9848499298096;17,2840709686279;0,885106086730957;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;Y
A12;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;18,093090057373;17,2840709686279;0,885106086730957;;;;;;;VRAI;1,05886710773815;VRAI;3;11;1;;Y
B1;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;17,4397106170654;17,1216335296631;0,30349138379097;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;N
B2;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;17,305046081543;17,1216335296631;0,30349138379097;;;;;;;VRAI;1,05886710773815;VRAI;3;10;1;;N
B3;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;16,782112121582;17,1216335296631;0,30349138379097;;;;;;;VRAI;1,05886710773815;VRAI;3;9;1;;N
