Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_HTDNA-stimulation_siRNAP6-8_IFNb.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-18 14:01:33 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
A1;Control;GAPDH;UNKNOWN;SYBR;None;;;;19,0281314849854;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;12;1;;Y
A2;Control;GAPDH;UNKNOWN;SYBR;None;;;;18,9657649993896;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;11;1;;Y
A3;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,2273559570313;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A4;Control;GAPDH;UNKNOWN;SYBR;None;;;;16,843936920166;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A5;Control;GAPDH;UNKNOWN;SYBR;None;;;;16,9819965362549;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A6;Control;GAPDH;UNKNOWN;SYBR;None;;;;16,9515686035156;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A7;Control;GAPDH;UNKNOWN;SYBR;None;;;;17,3409996032715;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;10;1;;Y
A8;Control;GAPDH;UNKNOWN;SYBR;None;;;;16,6229763031006;17,49534034729;0,952574610710144;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A9;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;16,6728363037109;19,4106750488281;3,01659774780273;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
A10;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;16,9268054962158;19,4106750488281;3,01659774780273;;;;;;;VRAI;1,11315451562405;VRAI;3;10;1;;Y
A11;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;21,9983043670654;19,4106750488281;3,01659774780273;;;;;;;VRAI;1,11315451562405;VRAI;3;15;1;;Y
A12;siPARP6.1;GAPDH;UNKNOWN;SYBR;None;;;;22,0447578430176;19,4106750488281;3,01659774780273;;;;;;;VRAI;1,11315451562405;VRAI;3;15;1;;Y
B1;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;16,4736957550049;17,6084003448486;1,22160017490387;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
B2;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;16,6307487487793;17,6084003448486;1,22160017490387;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
B3;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;18,6289157867432;17,6084003448486;1,22160017490387;;;;;;;VRAI;1,11315451562405;VRAI;3;11;1;;Y
B4;siPARP6.2;GAPDH;UNKNOWN;SYBR;None;;;;18,7002391815186;17,6084003448486;1,22160017490387;;;;;;;VRAI;1,11315451562405;VRAI;3;11;1;;Y
B5;siPARP8.1;GAPDH;UNKNOWN;SYBR;None;;;;16,6185245513916;16,2629871368408;0,323430776596069;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;N
B6;siPARP8.1;GAPDH;UNKNOWN;SYBR;None;;;;16,4222984313965;16,2629871368408;0,323430776596069;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;N
B7;siPARP8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,8841114044189;16,2629871368408;0,323430776596069;;;;;;;VRAI;1,11315451562405;VRAI;3;8;1;;N
B8;siPARP8.1;GAPDH;UNKNOWN;SYBR;None;;;;16,1270141601563;16,2629871368408;0,323430776596069;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;N
B9;siPARP8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,484992980957;16,1067657470703;0,546300172805786;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
B10;siPARP8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,6569519042969;16,1067657470703;0,546300172805786;;;;;;;VRAI;1,11315451562405;VRAI;3;9;1;;Y
B11;siPARP8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,7389860153198;16,1067657470703;0,546300172805786;;;;;;;VRAI;1,11315451562405;VRAI;3;8;1;;Y
B12;siPARP8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,5461330413818;16,1067657470703;0,546300172805786;;;;;;;VRAI;1,11315451562405;VRAI;3;8;1;;Y
C1;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;29,780740737915;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;22;1;;Y
C2;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;28,7154674530029;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;21;1;;Y
C3;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;26,9234142303467;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;19;1;;Y
C4;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;27,2824096679688;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;19;1;;Y
C5;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;27,6893749237061;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;20;1;;Y
C6;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;27,3163280487061;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;19;1;;Y
C7;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;27,6068496704102;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;20;1;;Y
C8;Control;PARP6;UNKNOWN;SYBR;None;1;0,496843338012695;2,01270699501038;27,6962947845459;27,8763618469238;0,929309129714966;;10,3810186386108;0,470506906509399;;;0;VRAI;1,49521650052538;VRAI;3;20;1;;Y
C9;siPARP6.1;PARP6;UNKNOWN;SYBR;None;1,54480493068695;0,0561315938830376;42,5147819519043;27,0698490142822;29,164270401001;2,48601698875427;;9,75359344482422;1,95449113845825;;;-0,627424716949463;VRAI;1,49521650052538;VRAI;3;19;1;;Y
C10;siPARP6.1;PARP6;UNKNOWN;SYBR;None;1,54480493068695;0,0561315938830376;42,5147819519043;26,9552459716797;29,164270401001;2,48601698875427;;9,75359344482422;1,95449113845825;;;-0,627424716949463;VRAI;1,49521650052538;VRAI;3;19;1;;Y
C11;siPARP6.1;PARP6;UNKNOWN;SYBR;None;1,54480493068695;0,0561315938830376;42,5147819519043;31,2304439544678;29,164270401001;2,48601698875427;;9,75359344482422;1,95449113845825;;;-0,627424716949463;VRAI;1,49521650052538;VRAI;3;23;1;;Y
C12;siPARP6.1;PARP6;UNKNOWN;SYBR;None;1,54480493068695;0,0561315938830376;42,5147819519043;31,4015407562256;29,164270401001;2,48601698875427;;9,75359344482422;1,95449113845825;;;-0,627424716949463;VRAI;1,49521650052538;VRAI;3;23;1;;Y
D1;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,447080582380295;0,102204076945782;1,95570528507233;27,9166088104248;29,1508121490479;1,23937785625458;;11,5424118041992;0,870109796524048;;;1,16139316558838;VRAI;1,49521650052538;VRAI;3;20;1;;Y
D2;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,447080582380295;0,102204076945782;1,95570528507233;28,2515048980713;29,1508121490479;1,23937785625458;;11,5424118041992;0,870109796524048;;;1,16139316558838;VRAI;1,49521650052538;VRAI;3;20;1;;Y
D3;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,447080582380295;0,102204076945782;1,95570528507233;30,2283191680908;29,1508121490479;1,23937785625458;;11,5424118041992;0,870109796524048;;;1,16139316558838;VRAI;1,49521650052538;VRAI;3;22;1;;Y
D4;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,447080582380295;0,102204076945782;1,95570528507233;30,2068138122559;29,1508121490479;1,23937785625458;;11,5424118041992;0,870109796524048;;;1,16139316558838;VRAI;1,49521650052538;VRAI;3;22;1;;Y
D5;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,936191320419312;0,498813390731812;1,75707828998566;27,4296722412109;26,7391319274902;0,668252766132355;;10,4761428833008;0,371203869581223;;;0,0951247215270996;VRAI;1,49521650052538;VRAI;3;20;1;;Y
D6;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,936191320419312;0,498813390731812;1,75707828998566;27,192699432373;26,7391319274902;0,668252766132355;;10,4761428833008;0,371203869581223;;;0,0951247215270996;VRAI;1,49521650052538;VRAI;3;19;1;;Y
D7;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,936191320419312;0,498813390731812;1,75707828998566;26,203254699707;26,7391319274902;0,668252766132355;;10,4761428833008;0,371203869581223;;;0,0951247215270996;VRAI;1,49521650052538;VRAI;3;18;1;;Y
D8;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,936191320419312;0,498813390731812;1,75707828998566;26,130895614624;26,7391319274902;0,668252766132355;;10,4761428833008;0,371203869581223;;;0,0951247215270996;VRAI;1,49521650052538;VRAI;3;18;1;;Y
D9;siPARP8.2;PARP6;UNKNOWN;SYBR;None;1,12141227722168;0,393440335988998;3,1963312625885;27,3826084136963;26,3224678039551;1,10772168636322;;10,2157020568848;0,617553889751434;;;-0,165316820144653;VRAI;1,49521650052538;VRAI;3;20;1;;Y
D10;siPARP8.2;PARP6;UNKNOWN;SYBR;None;1,12141227722168;0,393440335988998;3,1963312625885;27,172456741333;26,3224678039551;1,10772168636322;;10,2157020568848;0,617553889751434;;;-0,165316820144653;VRAI;1,49521650052538;VRAI;3;19;1;;Y
D11;siPARP8.2;PARP6;UNKNOWN;SYBR;None;1,12141227722168;0,393440335988998;3,1963312625885;25,2950649261475;26,3224678039551;1,10772168636322;;10,2157020568848;0,617553889751434;;;-0,165316820144653;VRAI;1,49521650052538;VRAI;3;17;1;;Y
D12;siPARP8.2;PARP6;UNKNOWN;SYBR;None;1,12141227722168;0,393440335988998;3,1963312625885;25,4397411346436;26,3224678039551;1,10772168636322;;10,2157020568848;0,617553889751434;;;-0,165316820144653;VRAI;1,49521650052538;VRAI;3;17;1;;Y
E1;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;28,2046642303467;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;20;1;;Y
E2;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;27,9007949829102;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;20;1;;Y
E3;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;26,3745384216309;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;18;1;;Y
E4;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;26,3945541381836;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;18;1;;Y
E5;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;26,749095916748;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;18;1;;Y
E6;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;26,3026447296143;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;18;1;;Y
E7;Control;PARP8;UNKNOWN;SYBR;None;1;0,534777760505676;1,86993551254272;26,9063739776611;26,9760265350342;0,714586555957794;;9,48068618774414;0,421015501022339;;;0;VRAI;1,60673930566562;VRAI;3;19;1;;Y
