Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\timedep_4-8h.eds;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-31 19:02:26 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD;NOISE;OUTLIERRG
D1;NC 5h;IFNB;UNKNOWN;SYBR;None;;;;35,9428329467773;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D2;NC 5h;IFNB;UNKNOWN;SYBR;None;;;;33,8194122314453;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;26;1;;Y;;
D3;NC 5h;IFNB;UNKNOWN;SYBR;None;;;;36,0343284606934;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D1;NC 8h;IFNB;UNKNOWN;SYBR;None;;;;35,9428329467773;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D2;NC 8h;IFNB;UNKNOWN;SYBR;None;;;;33,8194122314453;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;26;1;;Y;;
D3;NC 8h;IFNB;UNKNOWN;SYBR;None;;;;36,0343284606934;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D1;NC 12h;IFNB;UNKNOWN;SYBR;None;;;;35,9428329467773;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D2;NC 12h;IFNB;UNKNOWN;SYBR;None;;;;33,8194122314453;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;26;1;;Y;;
D3;NC 12h;IFNB;UNKNOWN;SYBR;None;;;;36,0343284606934;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D1;NC 24h;IFNB;UNKNOWN;SYBR;None;;;;35,9428329467773;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
D2;NC 24h;IFNB;UNKNOWN;SYBR;None;;;;33,8194122314453;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;26;1;;Y;;
D3;NC 24h;IFNB;UNKNOWN;SYBR;None;;;;36,0343284606934;35,2655258178711;1,25320529937744;;;;;;;VRAI;1,12346797475594;VRAI;3;29;1;;Y;;
A1;NC 5h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,0892887115479;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;10;1;;N;;
A2;NC 5h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;14,9937791824341;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A3;NC 5h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,8949174880981;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A1;NC 8h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,0892887115479;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;10;1;;N;;
A2;NC 8h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;14,9937791824341;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A3;NC 8h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,8949174880981;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A1;NC 12h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,0892887115479;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;10;1;;N;;
A2;NC 12h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;14,9937791824341;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A3;NC 12h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,8949174880981;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A1;NC 24h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,0892887115479;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;10;1;;N;;
A2;NC 24h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;14,9937791824341;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
A3;NC 24h;GAPDH;UNKNOWN;SYBR;None;1,5216269493103;0,340497255325317;6,79990339279175;15,8949174880981;15,3259954452515;0,495010107755661;;-19,9395294189453;0,777937114238739;;;-0,60561466217041;VRAI;0,475586695330484;VRAI;3;9;1;;N;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;5h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,4771537780762;15,9515113830566;0,842957735061646;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;Y;N;N
A2;5h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,4526090621948;15,9515113830566;0,842957735061646;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;Y;N;N
A3;5h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,9247722625732;15,9515113830566;0,842957735061646;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;Y;N;Y
A10;5h si 8.1;GAPDH;UNKNOWN;SYBR;None;;;;16,0820789337158;15,6551961898804;0,491830557584763;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
A11;5h si 8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,7661390304565;15,6551961898804;0,491830557584763;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
A12;5h si 8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,1173696517944;15,6551961898804;0,491830557584763;;;;;;;VRAI;0,852743025336947;VRAI;3;8;1;;N;N;N
B1;5h si 8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,4522590637207;16,480073928833;0,242361336946487;;;;;;;VRAI;0,852743025336947;VRAI;3;10;1;;N;N;N
B2;5h si 8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,7351417541504;16,480073928833;0,242361336946487;;;;;;;VRAI;0,852743025336947;VRAI;3;10;1;;N;N;N
B3;5h si 8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,2528190612793;16,480073928833;0,242361336946487;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
B4;8h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,4701194763184;15,4165754318237;0,0464147217571735;;;;;;;VRAI;0,852743025336947;VRAI;3;8;1;;N;N;N
B5;8h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,3877954483032;15,4165754318237;0,0464147217571735;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
B6;8h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,3918085098267;15,4165754318237;0,0464147217571735;;;;;;;VRAI;0,852743025336947;VRAI;3;8;1;;N;N;N
C1;8h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,2816486358643;16,0733165740967;0,193245440721512;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
C2;8h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,0383720397949;16,0733165740967;0,193245440721512;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
C3;8h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,8999261856079;16,0733165740967;0,193245440721512;;;;;;;VRAI;0,852743025336947;VRAI;3;9;1;;N;N;N
C4;8h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,5566091537476;16,120813369751;0,945140957832336;;;;;;;VRAI;0,852743025336947;VRAI;3;8;1;;Y;N;N
C5;8h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,5938749313354;16,120813369751;0,945140957832336;;;;;;;VRAI;0,852743025336947;VRAI;3;8;1;;Y;N;N
C6;8h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,2119560241699;16,120813369751;0,945140957832336;;;;;;;VRAI;0,852743025336947;VRAI;3;10;1;;Y;N;Y
C7;5h Control;PARP8;UNKNOWN;SYBR;None;1;0,338616698980331;2,95319175720215;25,5009822845459;25,8505229949951;0,489161521196365;;9,89900970458984;0,562689006328583;;;0;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
C8;5h Control;PARP8;UNKNOWN;SYBR;None;1;0,338616698980331;2,95319175720215;25,6410446166992;25,8505229949951;0,489161521196365;;9,89900970458984;0,562689006328583;;;0;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
C9;5h Control;PARP8;UNKNOWN;SYBR;None;1;0,338616698980331;2,95319175720215;26,409538269043;25,8505229949951;0,489161521196365;;9,89900970458984;0,562689006328583;;;0;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
D4;5h si 8.1;PARP8;UNKNOWN;SYBR;None;0,390988618135452;0,151170894503593;1,01125359535217;26,862735748291;26,9090061187744;0,699679613113403;;11,2538118362427;0,493777573108673;;;1,35480153560638;VRAI;1,45548097181861;VRAI;3;19;1;;Y;N;N
D5;5h si 8.1;PARP8;UNKNOWN;SYBR;None;0,390988618135452;0,151170894503593;1,01125359535217;27,6306743621826;26,9090061187744;0,699679613113403;;11,2538118362427;0,493777573108673;;;1,35480153560638;VRAI;1,45548097181861;VRAI;3;20;1;;Y;N;N
D6;5h si 8.1;PARP8;UNKNOWN;SYBR;None;0,390988618135452;0,151170894503593;1,01125359535217;26,2336120605469;26,9090061187744;0,699679613113403;;11,2538118362427;0,493777573108673;;;1,35480153560638;VRAI;1,45548097181861;VRAI;3;18;1;;Y;N;N
D7;5h si 8.2;PARP8;UNKNOWN;SYBR;None;0,43363893032074;0,328443318605423;0,57252711057663;27,5162200927734;27,5845184326172;0,0615919455885887;;11,1044435501099;0,144375190138817;;;1,20543384552002;VRAI;1,45548097181861;VRAI;3;19;1;;N;N;N
D8;5h si 8.2;PARP8;UNKNOWN;SYBR;None;0,43363893032074;0,328443318605423;0,57252711057663;27,6358470916748;27,5845184326172;0,0615919455885887;;11,1044435501099;0,144375190138817;;;1,20543384552002;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
D9;5h si 8.2;PARP8;UNKNOWN;SYBR;None;0,43363893032074;0,328443318605423;0,57252711057663;27,6014842987061;27,5845184326172;0,0615919455885887;;11,1044435501099;0,144375190138817;;;1,20543384552002;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
D10;8h Control;PARP8;UNKNOWN;SYBR;None;0,842566967010498;0,624295353889465;1,13715255260468;25,5015621185303;25,5627212524414;0,265827149152756;;10,146146774292;0,15579728782177;;;0,247136756777763;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
D11;8h Control;PARP8;UNKNOWN;SYBR;None;0,842566967010498;0,624295353889465;1,13715255260468;25,3328037261963;25,5627212524414;0,265827149152756;;10,146146774292;0,15579728782177;;;0,247136756777763;VRAI;1,45548097181861;VRAI;3;17;1;;N;N;N
D12;8h Control;PARP8;UNKNOWN;SYBR;None;0,842566967010498;0,624295353889465;1,13715255260468;25,8537979125977;25,5627212524414;0,265827149152756;;10,146146774292;0,15579728782177;;;0,247136756777763;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
E7;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,9690856933594;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
E8;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,9323711395264;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
E9;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,1447811126709;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;19;1;;N;N;N
E10;8h si8.2;PARP8;UNKNOWN;SYBR;None;0,303169786930084;0,0849390551447868;1,08209264278412;27,5012893676758;27,7416248321533;0,646557986736298;;11,6208124160767;0,661142587661743;;;1,72180211544037;VRAI;1,45548097181861;VRAI;3;20;1;;Y;N;N
E11;8h si8.2;PARP8;UNKNOWN;SYBR;None;0,303169786930084;0,0849390551447868;1,08209264278412;27,2496528625488;27,7416248321533;0,646557986736298;;11,6208124160767;0,661142587661743;;;1,72180211544037;VRAI;1,45548097181861;VRAI;3;19;1;;Y;N;N
